time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2012-08-06T05:24:06.000Z,35.373,-96.502,5,2.8,ml,43,48.8,,,us,usp000jpy7,2017-06-26T21:47:52.610Z,"5 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-08-03T06:59:13.000Z,35.66,-97.3,5,2.3,ml,15,109.8,,,us,usp000jpts,2017-06-26T21:48:02.358Z,"2 km ESE of Arcadia, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-08-01T23:35:10.000Z,35.5,-97.254,5,2.5,ml,11,132.7,,,us,usp000jprh,2017-06-26T21:48:12.086Z,"1 km ENE of Choctaw, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-31T16:03:40.000Z,35.558,-96.754,3,3.1,ml,36,36.7,,,us,usp000jppt,2017-06-26T21:48:22.059Z,"8 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-30T22:16:48.000Z,35.532,-96.757,5,2.5,ml,13,148.7,,,us,usp000jpnp,2014-11-07T01:48:25.375Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-30T19:35:06.000Z,35.497,-96.824,5,3.4,ml,43,79.3,,,us,usp000jpng,2022-08-08T21:08:51.784Z,"7 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-30T08:43:02.000Z,35.402,-96.576,5,2.9,ml,50,53.7,,,us,usp000jpmz,2017-06-26T21:48:42.466Z,"11 km S of Paden, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-08T09:11:43.000Z,35.393,-96.478,5,2.7,ml,27,45.2,,,us,usp000jnrn,2022-08-08T18:42:28.420Z,"6 km NNW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-06T08:30:49.000Z,35.539,-96.791,5,2.6,ml,8,166.9,,,us,usp000jnp6,2014-11-07T01:48:16.702Z,"8 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-03T16:11:37.000Z,35.585,-97.331,5,3.2,ml,22,84.9,,,us,usp000jnje,2014-11-07T01:48:15.711Z,"4 km WNW of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-07-02T03:31:00.000Z,35.479,-97.345,4,2.7,ml,10,150.9,,,us,usp000jng2,2022-08-08T21:00:34.415Z,"2 km SW of Nicoma Park, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-06-14T20:24:28.000Z,35.407,-97.434,1.9,3.1,ml,31,49.7,,,us,usp000jms4,2022-08-08T20:52:18.654Z,"3 km S of Del City, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-06-13T22:44:32.000Z,35.46,-96.7,3,3.1,ml,20,81.9,,,us,usp000jmqr,2017-06-26T21:49:21.474Z,"3 km SSW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-06-13T15:03:36.000Z,35.549,-97.238,4,2.5,ml,8,130.4,,,us,usp000jmqd,2014-11-07T01:48:04.632Z,"4 km ESE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-06-13T06:36:10.230Z,35.535,-97.311,5,2.8,mblg,19,131.7,,0.52,us,usp000jmpw,2014-11-07T01:48:04.221Z,"4 km SSW of Jones, Oklahoma",earthquake,,,,,reviewed,us,us
2012-06-13T06:21:36.590Z,35.552,-97.264,5,3.3,mblg,48,42.9,,0.74,us,usp000jmpv,2022-08-08T20:53:41.017Z,"2 km SE of Jones, Oklahoma",earthquake,,,,,reviewed,us,us
2012-05-27T12:32:34.000Z,34.861,-95.608,5,2.5,ml,11,149.4,,,us,usp000jkzy,2014-11-07T01:47:53.927Z,"2 km WNW of Haileyville, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-05-13T19:10:14.000Z,35.539,-97.303,3.3,2.9,ml,17,97.5,,,us,usp000jkd6,2017-06-26T21:49:41.603Z,"3 km SSW of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-05-13T19:00:08.000Z,35.596,-97.31,5,2.2,ml,6,200.3,,,us,usp000jkd5,2014-11-07T01:47:47.335Z,"3 km NNW of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-05-11T07:52:08.000Z,34.983,-97.638,5,2.8,ml,34,46.3,,,us,usp000jka1,2017-06-26T21:49:51.252Z,"5 km S of Dibble, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-05-11T04:37:50.000Z,35.512,-96.788,5,3.2,ml,24,69.3,,,us,usp000jk9r,2017-06-26T21:50:01.090Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-05-10T21:14:31.000Z,35.51,-96.781,5,3.8,mwr,60,35.2,,,us,usp000jk98,2022-08-08T20:46:55.075Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2012-05-07T23:11:12.000Z,35.077,-97.496,5,2.6,ml,12,166,,,us,usp000jk56,2014-11-07T01:47:45.770Z,"2 km NNW of Washington, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-05-07T23:05:28.000Z,34.984,-97.657,5,2.5,ml,8,162.8,,,us,usp000jk55,2014-11-07T01:47:45.768Z,"6 km SSW of Dibble, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-30T17:14:01.000Z,35.53,-96.76,5,3.2,ml,16,110.7,,,us,usp000jjts,2017-06-26T21:50:21.878Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-28T02:14:25.000Z,35.534,-96.748,5,3.1,ml,24,87,,,us,usp000jjpz,2022-08-08T20:44:31.530Z,"7 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-26T06:37:47.000Z,35.547,-96.751,5,2.3,ml,9,162.7,,,us,usp000jjme,2014-11-07T01:47:37.377Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-21T12:45:25.000Z,35.58,-97.07,5,3.2,ml,18,93,,,us,usp000jjby,2022-08-08T20:43:39.839Z,"12 km S of Wellston, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-16T14:30:58.000Z,34.818,-96.245,5,2.6,ml,5,166.7,,,us,usp000jj2q,2014-11-07T01:47:32.860Z,"4 km ESE of Gerty, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-16T08:12:00.000Z,35.53,-96.759,4.4,3.8,mwr,94,30.9,,,us,usp000jj26,2022-08-08T20:42:48.402Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,us
2012-04-14T07:35:58.000Z,34.944,-96.001,5,3,ml,38,42.7,,,us,usp000jhxr,2022-08-08T20:41:55.561Z,"3 km W of Arpelar, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-12T12:10:04.000Z,35.523,-96.774,5,3.1,mblg,34,79.9,,,us,usp000jhs0,2022-08-08T20:41:04.451Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-09T03:58:13.000Z,35.687,-97.111,5,2.6,ml,9,107.3,,,us,usp000jhee,2017-06-26T21:51:23.051Z,"4 km W of Wellston, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-06T16:20:28.000Z,35.72,-97.159,5,3.1,ml,34,53,,,us,usp000jhb3,2022-08-08T20:40:12.825Z,"4 km SW of Fallis, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-03T21:19:59.000Z,34.589,-97.44,5,2.5,ml,7,127.1,,,us,usp000jh76,2014-11-07T01:47:25.804Z,"5 km SE of Foster, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-04-03T07:34:00.000Z,34.635,-95.875,5,4.1,mb,91,43.3,,,us,usp000jh6b,2022-08-08T20:39:20.777Z,"8 km SSW of Pittsburg, Oklahoma",earthquake,,,,4,reviewed,tul,us
2012-03-31T11:54:11.000Z,35.437,-96.574,5,3.3,mblg,30,83.3,,,us,usp000jh1n,2022-08-08T20:38:19.879Z,"7 km S of Paden, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-03-25T14:09:21.000Z,35.505,-97.246,5,2.5,ml,8,88.9,,,us,usp000jgs4,2017-06-26T21:52:12.688Z,"2 km ENE of Choctaw, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-03-10T10:11:42.000Z,35.446,-96.572,0.9,3.1,ml,25,71.7,,,us,usp000jg1d,2022-08-08T20:37:27.590Z,"6 km S of Paden, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-03-10T07:09:14.000Z,35.593,-97.297,3.8,2.4,ml,18,127.6,,,us,usp000jg14,2014-11-07T01:47:13.252Z,"3 km NNW of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-03-08T05:17:39.000Z,35.621,-97.069,0.3,2.9,ml,23,85.4,,,us,usp000jfxu,2017-06-26T21:52:32.412Z,"8 km S of Wellston, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-03-03T08:44:12.000Z,35.619,-97.063,5,2.6,ml,15,86.8,,,us,usp000jfqs,2014-11-07T01:47:10.073Z,"8 km S of Wellston, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-29T22:20:42.000Z,35.725,-97.168,4.9,3,mblg,17,69.7,,,us,usp000jfma,2022-08-08T20:34:53.445Z,"5 km WSW of Fallis, Oklahoma",earthquake,,,,,reviewed,tul,us
2012-02-27T01:19:09.000Z,35.433,-96.567,5,2.8,ml,17,62.2,,,us,usp000jffm,2014-11-07T01:47:05.029Z,"8 km S of Paden, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-26T09:15:43.000Z,35.633,-97.068,5,2.9,ml,16,107.7,,,us,usp000jfdt,2022-08-08T20:36:35.925Z,"6 km S of Wellston, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-22T00:30:34.000Z,35.547,-97.282,5.9,2.9,ml,16,82.6,,,us,usp000jf6w,2022-08-08T20:35:45.287Z,"2 km SSE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-18T20:28:10.000Z,35.811,-96.91,3.8,2.9,ml,29,58,,,us,usp000jf38,2017-06-26T21:53:12.198Z,"8 km SE of Tryon, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-18T06:24:28.000Z,35.546,-97.272,4.7,2.6,ml,17,74.2,,,us,usp000jf2f,2017-06-26T21:53:21.401Z,"2 km SSE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-08T19:04:32.000Z,35.578,-97.286,3.9,2.8,ml,23,60.7,,,us,usp000jeps,2022-08-08T20:33:58.936Z,"1 km N of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-08T09:43:30.000Z,35.538,-96.741,6.3,2.5,mblg,13,110.5,,,us,usp000jepc,2014-11-07T01:46:59.315Z,"7 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-02-07T16:29:29.000Z,35.395,-96.524,5,3.3,ml,27,54,,,us,usp000jen8,2022-08-08T20:33:05.249Z,"8 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-29T11:33:48.000Z,35.511,-96.788,5,2.7,ml,33,59.1,,,us,usp000je4p,2017-06-26T21:53:51.385Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-27T04:17:27.000Z,35.6,-96.895,4.4,2.5,ml,17,111.3,,,us,usp000je10,2014-11-07T01:46:50.821Z,"6 km W of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-17T13:26:43.000Z,35.378,-96.546,3.6,3,ml,20,60.7,,,us,usp000jdm7,2014-11-07T01:46:47.795Z,"9 km WNW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-16T21:40:41.000Z,35.533,-96.76,4.9,2.1,ml,14,71.6,,,us,usp000jdkj,2014-11-07T01:46:47.646Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-10T01:43:59.000Z,35.647,-97.41,5,2.1,ml,11,204.5,,,us,usp000jd9v,2014-11-07T01:46:45.544Z,"6 km E of Edmond, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-09T02:50:07.000Z,35.544,-97.279,6.7,2.8,ml,26,77.6,,,us,usp000jd8g,2022-08-08T20:31:04.218Z,"2 km SSE of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-06T04:02:47.000Z,35.538,-96.766,5,2.9,ml,27,56.7,,,us,usp000jd3u,2022-08-08T20:26:27.172Z,"9 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-04T12:22:53.000Z,35.534,-97.415,4,2,ml,13,158.4,,,us,usp000jd14,2014-11-07T01:46:43.181Z,"2 km E of Lake Aluma, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-03T10:56:58.000Z,35.536,-96.75,3.6,3.4,ml,49,36.3,,,us,usp000jczp,2022-08-08T20:28:15.055Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-03T00:21:13.000Z,35.595,-97.293,5,2.4,ml,13,154.9,,,us,usp000jcza,2014-11-07T01:46:42.609Z,"3 km N of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-01T14:15:21.000Z,35.526,-96.766,3.8,2.8,ml,17,68.7,,,us,usp000jcxd,2017-06-26T21:54:32.077Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2012-01-01T13:23:24.000Z,35.53,-96.762,5,2.8,ml,24,70.7,,,us,usp000jcxc,2017-06-26T21:54:41.969Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-31T08:07:17.000Z,35.391,-96.52,5,3.6,ml,59,33.8,,,us,usp000jcvt,2022-08-08T20:27:21.469Z,"8 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-31T03:54:12.000Z,35.575,-97.288,3.7,2.2,ml,18,93.4,,,us,usp000jcvh,2017-06-26T21:26:46.351Z,"1 km N of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-25T14:10:41.000Z,35.398,-96.53,5,3.6,ml,46,44,,,us,usp000jcmu,2022-08-08T20:25:29.340Z,"9 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-13T18:57:57.000Z,35.492,-97.265,1.1,2.5,ml,30,42,,,us,usp000jc5f,2017-06-26T21:27:09.943Z,"0 km SSE of Choctaw, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-12T16:19:44.000Z,35.534,-96.751,4.2,2.5,ml,12,70.8,,,us,usp000jc4c,2014-11-07T01:46:33.405Z,"7 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-09T16:46:50.000Z,35.475,-96.855,5,3,ml,14,60.4,,,us,usp000jc05,2017-06-26T21:27:19.879Z,"5 km SE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-04T06:14:07.000Z,35.728,-97.171,5,2.3,ml,11,110,,,us,usp000jbt7,2017-06-26T21:27:30.492Z,"5 km WSW of Fallis, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-03T05:05:08.000Z,35.519,-96.785,5,2.3,ml,9,135.4,,,us,usp000jbrv,2017-06-26T21:27:40.683Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-03T04:42:12.000Z,35.525,-96.768,9.3,3.3,ml,16,87.5,,,us,usp000jbru,2020-03-19T20:46:59.606Z,"8 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-12-01T05:29:34.000Z,35.481,-97.034,5,2.7,ml,20,112.9,,,us,usp000jbp1,2017-06-26T21:28:02.170Z,"7 km NE of McLoud, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-29T15:03:14.000Z,34.923,-96,0,2.7,ml,15,117.5,,,us,usp000jbkt,2014-11-07T01:46:25.829Z,"3 km SW of Arpelar, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-29T09:22:33.000Z,35.536,-96.759,3.8,2.7,ml,19,73.2,,,us,usp000jbkb,2022-08-08T20:13:44.310Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-27T11:52:26.000Z,35.728,-97.166,5,3.1,ml,54,35.8,,,us,usp000jbfu,2022-08-08T20:20:18.370Z,"4 km WSW of Fallis, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-26T12:55:27.220Z,35.513,-96.766,5,2.4,mblg,13,61.6,,0.56,us,usp000jbe4,2017-06-26T21:28:34.915Z,"7 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,us,us
2011-11-25T21:24:29.000Z,35.512,-96.746,3.8,3.4,ml,26,58.5,,,us,usp000jbd8,2022-08-08T20:19:16.476Z,"6 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-25T20:09:47.000Z,35.461,-96.881,0.1,3.4,ml,46,35.6,,,us,usp000jbd6,2022-08-08T20:18:22.511Z,"5 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-25T20:08:55.000Z,35.461,-96.887,5,2.5,ml,21,103,,,us,usp000jbd5,2014-11-07T01:46:24.805Z,"4 km SSE of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-24T21:11:04.000Z,35.563,-96.788,6.2,3.4,mwr,45,24.9,,,us,usp000jbbx,2022-08-08T20:17:27.828Z,"5 km SSE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,us
2011-11-21T21:46:09.000Z,35.503,-96.81,5,3,ml,20,59.7,,,us,usp000jb7w,2022-08-08T20:16:28.470Z,"8 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-21T07:36:23.000Z,35.734,-97.164,3,2.8,ml,18,80.2,,,us,usp000jb6w,2022-08-08T20:15:34.198Z,"4 km WSW of Fallis, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-20T09:43:07.000Z,35.624,-97.19,1.9,2.6,ml,28,68.3,,,us,usp000jb5g,2014-11-07T01:46:23.241Z,"4 km S of Luther, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-20T05:54:02.000Z,35.551,-96.745,3.9,2.8,ml,18,77.3,,,us,usp000jb53,2022-08-08T20:06:11.609Z,"8 km NW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-18T07:41:08.000Z,35.541,-96.762,7.4,3.3,ml,22,62.7,,,us,usp000jb1g,2022-08-08T20:14:38.774Z,"9 km SE of Sparks, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-18T06:12:37.000Z,35.566,-97.294,4.4,2.8,ml,26,39,,,us,usp000jb16,2022-08-08T20:12:50.561Z,"0 km W of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-16T17:10:52.000Z,35.505,-96.803,5,3.2,ml,19,59.7,,,us,usp000jaye,2017-06-26T21:30:13.364Z,"9 km E of Meeker, Oklahoma",earthquake,,,,,reviewed,tul,tul
2011-11-16T15:27:16.000Z,35.518,-96.779,5,2.7,ml,10,65.3,,,us,usp000jay8,2014-11-07T01:46:21.729Z,"9 km WNW of Prague, Oklahoma",earthquake,,,,,reviewed,tul,tul
